repo_id,type,action,user_type,merged,state,changed_files,deletions,additions,review_comments,author_association
666299222,PullRequestEvent,opened,User,FALSE,open,2,4,9,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,4,74,76,0,COLLABORATOR
666299222,PullRequestEvent,closed,User,TRUE,closed,4,74,76,0,COLLABORATOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,COLLABORATOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,COLLABORATOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,0,1,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,0,1,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,6,10,395,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,52,38,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,52,38,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,2,2,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,FALSE,closed,1,0,392,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,1,0,392,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,4,4,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,FALSE,closed,10,1413,1699,4,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,10,1413,1699,4,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,2,0,320,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,2,0,320,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,6,3,224,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,6,3,224,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,1,4,12,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,1,4,12,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,6,3,224,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,6,3,224,0,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,3,0,294,0,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,1,1,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,1,1,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,4,19,63,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,4,19,63,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,3,6,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,3,6,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,4,12,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,4,12,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,2,9,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,2,9,0,NONE
666299222,PullRequestEvent,created,User,,closed,,,,,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,closed,,,,,CONTRIBUTOR
666299222,PullRequestEvent,opened,User,FALSE,open,2,0,14,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,3,9,12,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,3,9,12,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,7,86,594,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,7,86,594,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,9,47,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,3,3,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,3,9,12,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,3,9,12,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,0,1,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,0,0,0,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,FALSE,closed,0,0,0,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,3,2,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,3,2,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,2,2,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,2,2,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,0,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,0,0,CONTRIBUTOR
666299222,PullRequestEvent,opened,User,FALSE,open,1,5,43,0,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,17,29,0,NONE
666299222,PullRequestEvent,created,User,,open,,,,,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,created,User,,open,,,,,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,open,,,,,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,open,,,,,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,open,,,,,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,2,5,14,0,CONTRIBUTOR
666299222,PullRequestEvent,opened,User,FALSE,open,2,5,14,0,CONTRIBUTOR
666299222,PullRequestEvent,opened,User,FALSE,open,1,1,1,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,3,2,5,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,FALSE,closed,3,2,5,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,FALSE,closed,5,18,18,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,FALSE,closed,5,18,18,0,CONTRIBUTOR
666299222,PullRequestEvent,opened,User,FALSE,open,1,5,6,0,NONE
666299222,PullRequestEvent,opened,User,FALSE,open,1,5,6,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,3,24,112,4,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,3,24,112,4,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,4,4,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,4,4,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,1,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,0,2,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,0,2,0,CONTRIBUTOR
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,2,2,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,2,3,20,5,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,2,3,20,5,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,1,3,0,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,3,3,3,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,3,3,3,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,17,49,0,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,created,User,,open,,,,,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,1,6,21,1,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,FALSE,closed,1,6,21,1,CONTRIBUTOR
666299222,PullRequestEvent,closed,User,TRUE,closed,2,1,5,0,COLLABORATOR
666299222,PullRequestEvent,closed,User,TRUE,closed,2,1,5,0,COLLABORATOR
666299222,PullRequestEvent,opened,User,FALSE,open,1,2,2,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,1,1,3,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,1,0,8,0,NONE
666299222,PullRequestEvent,closed,User,FALSE,closed,1,0,8,0,NONE
666299222,PullRequestEvent,closed,User,TRUE,closed,1,8,15,0,COLLABORATOR
666299222,PullRequestEvent,closed,User,TRUE,closed,1,8,15,0,COLLABORATOR
