Repo Name,Repo ID,Type,Action,User Type,Merged,State,Changed Files,Deletions,Additions,Review Comments,Author Association,Star Score,Follower Score,Community Score
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,40,192,779,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,5,9,54,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,5,9,54,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,19,10592,265,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,19,10592,265,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,3,2,212,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,3,2,212,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,0,2,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,33,19,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,33,19,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,22,184,278,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,22,184,278,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,3,4,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,3,4,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,34,148,615,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,34,148,615,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,1,33,19,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,False,closed,1,33,19,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,1,1,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,1,1,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,0,1,0,COLLABORATOR,10051,74,6
