Repo Name,Repo ID,Type,Action,User Type,Merged,State,Changed Files,Deletions,Additions,Review Comments,Author Association,Star Score,Follower Score,Community Score
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,4,2,208,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,4,2,208,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,7,21,0,COLLABORATOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,7,21,0,COLLABORATOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,1,10,24,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,1,10,24,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,8,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,8,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,3,15,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,3,15,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,10,1413,1699,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,10,1413,1699,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,8,16,130,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,8,16,130,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,25,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,25,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,created,User,,open,,,,,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,created,User,,open,,,,,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,7,21,28,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,7,21,28,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,2,8,110,3,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,2,8,110,3,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,2,8,110,3,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,2,8,110,3,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,2,4,9,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,4,74,76,0,COLLABORATOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,4,74,76,0,COLLABORATOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,COLLABORATOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,COLLABORATOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,0,1,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,0,1,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,6,10,395,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,1,52,38,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,1,52,38,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,2,2,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,1,0,392,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,1,0,392,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,1,1,1,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,1,4,4,0,CONTRIBUTOR,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,10,1413,1699,4,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,10,1413,1699,4,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,2,0,320,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,2,0,320,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,6,3,224,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,6,3,224,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,1,4,12,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,1,4,12,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,6,3,224,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,False,closed,6,3,224,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,created,User,,open,,,,,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,3,0,294,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,created,User,,open,,,,,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,created,User,,open,,,,,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,4,19,63,0,NONE,34920,263,6
KillianLucas/open-interpreter,666299222,PullRequestEvent,closed,User,True,closed,4,19,63,0,NONE,34920,263,6
